Member_number,Date,itemDescription,itemDescription_ro
2602,18-04-2014,cream cheese ,
1098,19-07-2014,candy,bomboane
4733,09-11-2014,shopping bags,pungi de cumpărături
3920,23-02-2014,brown bread,pâine integrală
3255,23-01-2014,semi-finished bread,
2713,21-05-2014,canned beer,bere la cutie
4068,29-06-2014,canned beer,bere la cutie
2369,07-01-2014,soda,suc carbogazos
1547,09-03-2014,long life bakery product,produs de patiserie cu termen lung
3183,24-09-2014,brown bread,pâine integrală
3484,04-07-2014,frozen meals,
3226,22-07-2014,chocolate,ciocolată
4437,03-12-2014,oil,ulei
1908,12-06-2014,mustard,muștar
3678,23-01-2014,specialty bar,
2076,06-09-2014,rolls/buns,chifle
2175,26-12-2014,shopping bags,pungi de cumpărături
4582,23-04-2014,cat food,
1852,08-09-2014,shopping bags,pungi de cumpărături
2148,25-01-2014,cream cheese ,
3898,25-08-2014,newspapers,ziare
4009,19-02-2014,cream cheese ,
1527,15-04-2014,soda,suc carbogazos
4269,30-12-2014,curd cheese,
1998,14-06-2014,sauces,sosuri
1230,17-12-2014,canned beer,bere la cutie
2142,25-10-2014,frozen vegetables,legume congelate
2897,07-11-2014,curd,brânză de vaci
3288,20-04-2014,frozen chicken,
2155,03-06-2014,soda,suc carbogazos
2049,02-09-2014,dessert,
4663,18-04-2014,whole milk,lapte integral
3521,10-10-2014,rolls/buns,chifle
4407,06-06-2014,liquor (appetizer),lichior (aperitiv)
3526,18-05-2014,specialty cheese,brânză specială
3005,18-04-2014,coffee,cafea
3083,29-03-2014,whole milk,lapte integral
4046,29-12-2014,semi-finished bread,
2332,18-07-2014,flower (seeds),
4376,01-08-2014,cereals,
2578,30-01-2014,whole milk,lapte integral
4089,15-03-2014,hamburger meat,
4674,18-02-2014,other vegetables,alte legume
3639,05-01-2014,flower (seeds),
4160,05-09-2014,soda,suc carbogazos
2766,01-12-2014,long life bakery product,produs de patiserie cu termen lung
1754,07-06-2014,bottled water,apă îmbuteliată
3550,06-12-2014,yogurt,iaurt
1736,30-09-2014,root vegetables,legume rădăcinoase
1315,11-12-2014,hygiene articles,
3633,12-10-2014,oil,ulei
3425,15-12-2014,rolls/buns,chifle
2697,07-07-2014,soft cheese,brânză moale
3659,12-11-2014,canned beer,bere la cutie
1466,16-05-2014,beverages,băuturi
4440,12-02-2014,newspapers,ziare
1280,17-04-2014,ice cream,înghețată
4375,30-10-2014,frozen fish,
3208,10-12-2014,newspapers,ziare
4305,02-09-2014,flower (seeds),
2525,04-03-2014,chocolate,ciocolată
1498,23-08-2014,rolls/buns,chifle
4108,27-08-2014,domestic eggs,ouă
3249,02-04-2014,beverages,băuturi
2131,11-07-2014,other vegetables,alte legume
4886,21-08-2014,coffee,cafea
1023,22-05-2014,curd,brânză de vaci
2875,30-04-2014,herbs,
3407,16-12-2014,cling film/bags,folie alimentară/pungi
1632,29-05-2014,newspapers,ziare
2668,01-12-2014,other vegetables,alte legume
3745,25-05-2014,bottled water,apă îmbuteliată
1712,12-04-2014,rice,orez
4009,21-12-2014,soda,suc carbogazos
4522,04-10-2014,other vegetables,alte legume
4852,24-01-2014,waffles,vafe
3862,26-12-2014,salty snack,gustare sărată
3538,28-11-2014,pet care,îngrijirea animalelor
3821,14-12-2014,whipped/sour cream,frișcă/smântână
1889,20-06-2014,rolls/buns,chifle
3963,01-06-2014,domestic eggs,ouă
1478,07-07-2014,pastry,patiserie
2788,17-04-2014,pickled vegetables,legume murate
3822,23-12-2014,fruit/vegetable juice,suc de fructe/legume
1728,18-10-2014,processed cheese,brânză topită
3016,23-05-2014,pastry,patiserie
2018,13-04-2014,bottled beer,bere la sticlă
3139,23-01-2014,rum,
2823,07-08-2014,napkins,șervețele
1820,23-01-2014,butter milk,
1596,10-09-2014,other vegetables,alte legume
3333,12-05-2014,other vegetables,alte legume
2408,02-08-2014,shopping bags,pungi de cumpărături
1303,27-09-2014,detergent,detergent
2835,11-08-2014,rolls/buns,chifle
1921,17-08-2014,hygiene articles,
3313,23-11-2014,white bread,pâine albă
2772,04-04-2014,shopping bags,pungi de cumpărături
1929,03-02-2014,newspapers,ziare
3066,17-10-2014,long life bakery product,produs de patiserie cu termen lung
4176,25-09-2014,shopping bags,pungi de cumpărături
1544,18-03-2014,cat food,
3479,07-06-2014,long life bakery product,produs de patiserie cu termen lung
2321,06-02-2014,chocolate,ciocolată
2076,14-01-2014,salty snack,gustare sărată
3761,25-12-2014,long life bakery product,produs de patiserie cu termen lung
2229,07-10-2014,rolls/buns,chifle
3612,12-03-2014,shopping bags,pungi de cumpărături
4842,25-03-2014,UHT-milk,
2725,05-01-2014,baking powder,
1917,26-01-2014,curd cheese,
2276,29-11-2014,yogurt,iaurt
3964,30-01-2014,pastry,patiserie
4469,13-09-2014,curd,brânză de vaci
1307,29-08-2014,sugar,zahăr
3343,11-02-2014,hygiene articles,
1903,15-08-2014,dish cleaner,detergent pentru vase
3354,11-12-2014,beverages,băuturi
2580,03-04-2014,salad dressing,
2685,11-02-2014,whole milk,lapte integral
1761,18-10-2014,hygiene articles,
3475,01-09-2014,canned fish,pește la conservă
2758,07-12-2014,cream cheese ,
1450,08-12-2014,misc. beverages,
2832,07-07-2014,newspapers,ziare
2709,18-05-2014,bottled water,apă îmbuteliată
1820,11-01-2014,butter milk,
2186,19-06-2014,whole milk,lapte integral
2341,23-03-2014,toilet cleaner,
3386,10-05-2014,soda,suc carbogazos
2160,07-11-2014,white bread,pâine albă
2754,20-11-2014,margarine,margarină
3280,07-06-2014,soda,suc carbogazos
2578,07-11-2014,shopping bags,pungi de cumpărături
1822,04-03-2014,bottled beer,bere la sticlă
3644,16-04-2014,photo/film,fotografii/film
4144,08-01-2014,bottled beer,bere la sticlă
4464,23-01-2014,coffee,cafea
1530,11-10-2014,condensed milk,lapte condensat
2730,17-03-2014,salty snack,gustare sărată
4983,14-07-2014,shopping bags,pungi de cumpărături
2847,13-06-2014,yogurt,iaurt
4941,13-08-2014,butter milk,
3842,03-03-2014,pastry,patiserie
3005,26-07-2014,frozen meals,
2218,25-12-2014,brown bread,pâine integrală
1797,14-11-2014,sliced cheese,brânză feliată
1870,17-06-2014,rolls/buns,chifle
2107,24-02-2014,salty snack,gustare sărată
1211,09-11-2014,margarine,margarină
3397,07-10-2014,white bread,pâine albă
4260,01-01-2014,brown bread,pâine integrală
4416,30-07-2014,newspapers,ziare
4094,22-01-2014,margarine,margarină
2813,20-12-2014,yogurt,iaurt
2001,14-11-2014,napkins,șervețele
3631,12-09-2014,frozen vegetables,legume congelate
4922,21-04-2014,liquor (appetizer),lichior (aperitiv)
1102,14-02-2014,frozen vegetables,legume congelate
4274,24-02-2014,rolls/buns,chifle
1022,25-03-2014,whipped/sour cream,frișcă/smântână
4433,16-02-2014,grapes,struguri
4567,31-05-2014,coffee,cafea
3793,26-05-2014,soda,suc carbogazos
4448,11-06-2014,curd,brânză de vaci
3491,19-06-2014,cat food,
1684,17-02-2014,curd,brânză de vaci
3250,19-10-2014,root vegetables,legume rădăcinoase
3306,05-02-2014,dog food,
3923,19-12-2014,bottled water,apă îmbuteliată
1099,18-07-2014,brown bread,pâine integrală
1005,09-01-2014,rolls/buns,chifle
2593,13-04-2014,shopping bags,pungi de cumpărături
1657,04-03-2014,rolls/buns,chifle
4059,13-06-2014,bottled water,apă îmbuteliată
2094,02-03-2014,whole milk,lapte integral
1124,23-08-2014,soda,suc carbogazos
2967,23-01-2014,flower (seeds),
4685,16-07-2014,hygiene articles,
3254,02-03-2014,other vegetables,alte legume
2151,15-08-2014,pip fruit,fruct cu sâmburi
2950,17-10-2014,margarine,margarină
2497,06-08-2014,whole milk,lapte integral
3034,14-12-2014,soap,
1269,14-04-2014,seasonal products,
3127,03-12-2014,bottled water,apă îmbuteliată
3614,06-01-2014,frozen meals,
1233,28-08-2014,rolls/buns,chifle
3063,13-12-2014,flour,
3410,22-02-2014,pastry,patiserie
2070,20-12-2014,frozen dessert,desert congelat
1975,09-01-2014,soups,supe
3912,08-12-2014,cream cheese ,
1544,24-04-2014,brown bread,pâine integrală
1508,28-09-2014,yogurt,iaurt
3342,06-09-2014,brandy,
2964,22-09-2014,UHT-milk,
1752,23-11-2014,cake bar,
4908,08-05-2014,flour,
2559,31-07-2014,napkins,șervețele
3926,10-02-2014,cat food,
2975,27-03-2014,flower (seeds),
3443,26-09-2014,domestic eggs,ouă
4712,07-09-2014,newspapers,ziare
2041,09-05-2014,long life bakery product,produs de patiserie cu termen lung
4718,08-03-2014,hygiene articles,
3584,18-11-2014,soda,suc carbogazos
4691,08-05-2014,specialty chocolate,
4226,08-09-2014,specialty bar,
3221,30-01-2014,chocolate,ciocolată
3874,19-07-2014,fruit/vegetable juice,suc de fructe/legume
1866,09-02-2014,specialty chocolate,
3139,26-06-2014,misc. beverages,
4131,02-07-2014,rolls/buns,chifle
2961,31-07-2014,canned fruit,
3651,09-09-2014,brown bread,pâine integrală
4137,25-06-2014,domestic eggs,ouă
4997,05-01-2014,canned beer,bere la cutie
3348,30-03-2014,frozen vegetables,legume congelate
4700,19-10-2014,baking powder,
3190,26-08-2014,kitchen towels,
4772,02-06-2014,sauces,sosuri
2070,29-03-2014,candy,bomboane
2512,19-12-2014,shopping bags,pungi de cumpărături
3783,07-11-2014,canned beer,bere la cutie
3681,09-06-2014,frozen vegetables,legume congelate
1620,27-02-2014,sparkling wine,
1580,19-05-2014,chewing gum,gumă de mestecat
4268,12-07-2014,margarine,margarină
1770,01-07-2014,mayonnaise,maioneză
1077,17-07-2014,pasta,
2310,22-04-2014,yogurt,iaurt
1879,08-11-2014,rolls/buns,chifle
2293,30-07-2014,bottled water,apă îmbuteliată
3324,07-05-2014,other vegetables,alte legume
2149,16-08-2014,sugar,zahăr
4380,12-08-2014,red/blush wine,vin roșu/roz
3268,23-01-2014,white bread,pâine albă
2562,13-07-2014,meat spreads,paste de carne
4092,19-06-2014,root vegetables,legume rădăcinoase
1486,02-12-2014,candles,lumânări
2538,15-10-2014,pastry,patiserie
1254,03-03-2014,napkins,șervețele
2716,09-06-2014,soda,suc carbogazos
4101,27-11-2014,brown bread,pâine integrală
4259,20-12-2014,domestic eggs,ouă
2252,08-08-2014,domestic eggs,ouă
4705,18-02-2014,mayonnaise,maioneză
3882,15-08-2014,butter milk,
1919,06-12-2014,white wine,
3915,09-08-2014,bathroom cleaner,
1115,31-07-2014,root vegetables,legume rădăcinoase
1260,04-10-2014,shopping bags,pungi de cumpărături
3107,13-12-2014,chocolate,ciocolată
4196,03-02-2014,flower (seeds),
3303,10-01-2014,dishes,vase
1575,20-09-2014,shopping bags,pungi de cumpărături
3390,02-12-2014,shopping bags,pungi de cumpărături
3487,22-05-2014,frozen vegetables,legume congelate
4373,16-05-2014,bottled water,apă îmbuteliată
3348,29-10-2014,cat food,
2030,29-01-2014,berries,fructe de pădure
2836,04-10-2014,shopping bags,pungi de cumpărături
3364,14-07-2014,other vegetables,alte legume
3366,28-05-2014,softener,
3929,10-01-2014,dish cleaner,detergent pentru vase
1017,21-02-2014,root vegetables,legume rădăcinoase
1456,12-08-2014,shopping bags,pungi de cumpărături
3344,21-01-2014,bottled water,apă îmbuteliată
4649,06-01-2014,soda,suc carbogazos
4566,31-10-2014,red/blush wine,vin roșu/roz
1922,07-01-2014,whipped/sour cream,frișcă/smântână
3090,19-03-2014,rolls/buns,chifle
3383,13-11-2014,syrup,
3284,27-01-2014,oil,ulei
3905,03-02-2014,meat spreads,paste de carne
3768,31-07-2014,frozen vegetables,legume congelate
3464,30-06-2014,chocolate,ciocolată
2742,07-07-2014,UHT-milk,
2019,10-06-2014,candy,bomboane
3131,03-12-2014,soda,suc carbogazos
3502,15-06-2014,shopping bags,pungi de cumpărături
3077,01-04-2014,domestic eggs,ouă
1298,26-07-2014,rolls/buns,chifle
2740,16-06-2014,whipped/sour cream,frișcă/smântână
2933,01-08-2014,seasonal products,
4650,12-07-2014,shopping bags,pungi de cumpărături
3622,28-09-2014,cereals,
4526,17-12-2014,soda,suc carbogazos
4467,11-12-2014,soda,suc carbogazos
1302,22-11-2014,bottled water,apă îmbuteliată
2322,15-02-2014,cake bar,
2212,08-06-2014,soda,suc carbogazos
1905,31-01-2014,soups,supe
3413,27-10-2014,bottled water,apă îmbuteliată
3437,07-11-2014,frozen vegetables,legume congelate
2758,26-05-2014,flour,
3942,18-04-2014,shopping bags,pungi de cumpărături
2479,09-03-2014,brown bread,pâine integrală
4773,16-12-2014,bottled beer,bere la sticlă
4480,12-06-2014,chocolate,ciocolată
2562,17-05-2014,coffee,cafea
2069,12-11-2014,newspapers,ziare
4646,11-12-2014,specialty fat,grăsimi speciale
4960,28-10-2014,chewing gum,gumă de mestecat
2278,15-03-2014,hygiene articles,
1154,15-05-2014,rolls/buns,chifle
4536,11-05-2014,root vegetables,legume rădăcinoase
2982,22-10-2014,margarine,margarină
3098,29-05-2014,sugar,zahăr
1523,20-03-2014,oil,ulei
1796,15-11-2014,rolls/buns,chifle
2086,02-12-2014,root vegetables,legume rădăcinoase
1770,15-05-2014,pickled vegetables,legume murate
2801,17-06-2014,other vegetables,alte legume
3848,16-01-2014,frozen vegetables,legume congelate
1682,18-01-2014,newspapers,ziare
1793,30-09-2014,chocolate,ciocolată
4831,29-07-2014,rolls/buns,chifle
3451,08-06-2014,yogurt,iaurt
1791,02-10-2014,bottled water,apă îmbuteliată
1352,03-03-2014,bottled water,apă îmbuteliată
3003,22-04-2014,shopping bags,pungi de cumpărături
2067,03-07-2014,brown bread,pâine integrală
2042,19-12-2014,newspapers,ziare
2303,30-07-2014,white wine,
1768,22-07-2014,butter milk,
2139,02-03-2014,butter milk,
1917,09-10-2014,curd,brânză de vaci
1418,21-06-2014,curd,brânză de vaci
2134,17-01-2014,bottled water,apă îmbuteliată
3354,14-05-2014,female sanitary products,
4109,05-12-2014,rolls/buns,chifle
1377,11-12-2014,tea,
4360,27-09-2014,margarine,margarină
2590,27-08-2014,snack products,
2358,08-08-2014,berries,fructe de pădure
2191,22-10-2014,red/blush wine,vin roșu/roz
2719,18-12-2014,root vegetables,legume rădăcinoase
1908,29-10-2014,canned beer,bere la cutie
1410,11-02-2014,bottled water,apă îmbuteliată
2815,05-08-2014,yogurt,iaurt
3304,15-11-2014,white bread,pâine albă
1608,14-01-2014,ice cream,înghețată
1427,04-02-2014,red/blush wine,vin roșu/roz
1709,22-08-2014,coffee,cafea
1342,20-08-2014,margarine,margarină
3593,11-03-2014,dish cleaner,detergent pentru vase
1057,08-06-2014,UHT-milk,
2288,16-10-2014,fruit/vegetable juice,suc de fructe/legume
1922,07-11-2014,root vegetables,legume rădăcinoase
3166,22-06-2014,specialty bar,
3733,23-05-2014,butter,unt
1837,27-02-2014,long life bakery product,produs de patiserie cu termen lung
2619,24-12-2014,whole milk,lapte integral
1657,29-04-2014,frozen meals,
3919,08-02-2014,bottled beer,bere la sticlă
2354,20-08-2014,Instant food products,
4018,23-11-2014,napkins,șervețele
4968,05-11-2014,canned vegetables,
1050,15-02-2014,beverages,băuturi
1540,27-11-2014,pastry,patiserie
1101,25-12-2014,sparkling wine,
4354,30-07-2014,grapes,struguri
2038,23-07-2014,pastry,patiserie
2853,26-10-2014,semi-finished bread,
4830,04-01-2014,ice cream,înghețată
4434,29-11-2014,chocolate,ciocolată
2400,08-03-2014,white bread,pâine albă
3918,20-03-2014,napkins,șervețele
1062,26-01-2014,sauces,sosuri
1866,14-08-2014,other vegetables,alte legume
3389,20-07-2014,newspapers,ziare
3082,21-05-2014,fruit/vegetable juice,suc de fructe/legume
4363,30-05-2014,coffee,cafea
1941,29-01-2014,rolls/buns,chifle
3932,07-05-2014,bottled beer,bere la sticlă
3787,02-03-2014,pasta,
2196,28-06-2014,sliced cheese,brânză feliată
1587,01-09-2014,skin care,
4066,01-11-2014,chewing gum,gumă de mestecat
2733,05-05-2014,bottled water,apă îmbuteliată
4656,19-06-2014,cat food,
3107,12-12-2014,waffles,vafe
1171,01-03-2014,whipped/sour cream,frișcă/smântână
3321,19-04-2014,salty snack,gustare sărată
3908,27-04-2014,pastry,patiserie
2916,06-12-2014,bottled beer,bere la sticlă
2334,03-02-2014,rolls/buns,chifle
1736,10-09-2014,long life bakery product,produs de patiserie cu termen lung
2663,13-05-2014,bottled water,apă îmbuteliată
2689,27-08-2014,curd,brânză de vaci
1174,29-12-2014,cling film/bags,folie alimentară/pungi
3194,22-10-2014,soda,suc carbogazos
1661,29-08-2014,frozen fruits,
4956,20-11-2014,pot plants,
3668,11-08-2014,fruit/vegetable juice,suc de fructe/legume
3816,24-10-2014,packaged fruit/vegetables,
3077,15-05-2014,curd,brânză de vaci
2542,01-01-2014,bottled water,apă îmbuteliată
1245,12-07-2014,soft cheese,brânză moale
3571,03-02-2014,curd,brânză de vaci
1427,12-02-2014,canned fish,pește la conservă
3050,11-11-2014,waffles,vafe
2550,27-02-2014,whole milk,lapte integral
3524,05-09-2014,dessert,
4626,02-07-2014,pastry,patiserie
2178,14-04-2014,root vegetables,legume rădăcinoase
1526,21-07-2014,shopping bags,pungi de cumpărături
3075,09-02-2014,hard cheese,brânză tare
1381,01-01-2014,soda,suc carbogazos
2361,04-01-2014,whipped/sour cream,frișcă/smântână
3507,09-08-2014,UHT-milk,
1225,03-03-2014,curd,brânză de vaci
4745,28-03-2014,bottled water,apă îmbuteliată
4623,25-06-2014,frozen vegetables,legume congelate
2727,29-05-2014,bottled beer,bere la sticlă
4147,25-08-2014,napkins,șervețele
4223,20-03-2014,frozen meals,
2604,03-04-2014,butter milk,
2591,10-12-2014,root vegetables,legume rădăcinoase
3662,16-02-2014,bottled water,apă îmbuteliată
3719,03-10-2014,rolls/buns,chifle
2535,01-04-2014,rolls/buns,chifle
2323,06-09-2014,napkins,șervețele
2003,30-11-2014,baking powder,
4646,30-03-2014,dishes,vase
3277,31-10-2014,other vegetables,alte legume
1910,20-05-2014,other vegetables,alte legume
2521,22-03-2014,pastry,patiserie
4510,22-10-2014,rolls/buns,chifle
4451,23-11-2014,fruit/vegetable juice,suc de fructe/legume
3539,09-05-2014,tropical fruit,fruct tropical
3206,07-07-2014,domestic eggs,ouă
1748,12-03-2014,root vegetables,legume rădăcinoase
4554,20-07-2014,napkins,șervețele
4449,25-09-2014,brown bread,pâine integrală
1932,02-08-2014,cat food,
4228,26-06-2014,brown bread,pâine integrală
1190,10-09-2014,specialty chocolate,
1814,28-06-2014,other vegetables,alte legume
1815,27-06-2014,butter,unt
4637,28-08-2014,rolls/buns,chifle
4712,14-12-2014,whipped/sour cream,frișcă/smântână
4539,31-03-2014,brown bread,pâine integrală
2388,19-11-2014,shopping bags,pungi de cumpărături
2131,22-09-2014,rolls/buns,chifle
1422,26-02-2014,rolls/buns,chifle
1304,07-06-2014,other vegetables,alte legume
2269,26-05-2014,bottled water,apă îmbuteliată
4288,20-06-2014,frozen potato products,
1061,23-10-2014,dessert,
4093,08-07-2014,white bread,pâine albă
4937,30-09-2014,hard cheese,brânză tare
1384,28-09-2014,cling film/bags,folie alimentară/pungi
3442,02-03-2014,brandy,
1446,02-09-2014,rolls/buns,chifle
3901,14-02-2014,whole milk,lapte integral
1002,09-02-2014,other vegetables,alte legume
4437,04-11-2014,specialty chocolate,
3905,11-05-2014,soda,suc carbogazos
2956,23-10-2014,cream cheese ,
3090,23-01-2014,chewing gum,gumă de mestecat
3305,24-08-2014,shopping bags,pungi de cumpărături
2893,16-04-2014,pickled vegetables,legume murate
3916,22-05-2014,onions,ceapă
1770,23-04-2014,whole milk,lapte integral
1303,28-10-2014,pastry,patiserie
2846,26-10-2014,shopping bags,pungi de cumpărături
4143,14-01-2014,other vegetables,alte legume
3166,08-11-2014,other vegetables,alte legume
2679,31-08-2014,soda,suc carbogazos
3229,16-11-2014,coffee,cafea
4720,20-06-2014,bottled water,apă îmbuteliată
3227,21-07-2014,yogurt,iaurt
2463,14-01-2014,soda,suc carbogazos
4079,18-03-2014,curd,brânză de vaci
4234,10-06-2014,whole milk,lapte integral
4487,29-07-2014,curd,brânză de vaci
2925,25-08-2014,salt,
2638,06-01-2014,misc. beverages,
3543,13-09-2014,processed cheese,brânză topită
2763,18-05-2014,whipped/sour cream,frișcă/smântână
1331,06-04-2014,fruit/vegetable juice,suc de fructe/legume
4338,09-10-2014,pip fruit,fruct cu sâmburi
3268,03-11-2014,cling film/bags,folie alimentară/pungi
3985,22-06-2014,cake bar,
4659,22-01-2014,root vegetables,legume rădăcinoase
1838,19-06-2014,salty snack,gustare sărată
1652,19-06-2014,curd,brânză de vaci
3737,03-01-2014,shopping bags,pungi de cumpărături
1886,13-09-2014,chocolate marshmallow,
4784,28-10-2014,soft cheese,brânză moale
4546,18-10-2014,pickled vegetables,legume murate
1471,31-07-2014,butter,unt
4084,19-04-2014,margarine,margarină
2040,10-04-2014,hard cheese,brânză tare
1797,18-01-2014,chocolate marshmallow,
3076,22-02-2014,soda,suc carbogazos
4975,10-02-2014,curd,brânză de vaci
3526,10-07-2014,yogurt,iaurt
4571,25-08-2014,dessert,
3476,02-04-2014,pastry,patiserie
4398,28-08-2014,canned beer,bere la cutie
3115,22-09-2014,frozen fish,
2707,18-03-2014,detergent,detergent
1774,15-09-2014,syrup,
2012,04-08-2014,butter milk,
4981,26-02-2014,specialty chocolate,
4427,09-01-2014,salt,
3499,02-12-2014,sugar,zahăr
3020,08-12-2014,pot plants,
2854,15-07-2014,pip fruit,fruct cu sâmburi
3624,12-05-2014,hard cheese,brânză tare
3909,06-09-2014,yogurt,iaurt
3517,20-07-2014,chocolate marshmallow,
3499,16-08-2014,curd,brânză de vaci
4182,17-01-2014,sliced cheese,brânză feliată
2379,01-06-2014,brown bread,pâine integrală
2074,27-08-2014,candy,bomboane
2790,03-03-2014,berries,fructe de pădure
4190,07-12-2014,shopping bags,pungi de cumpărături
4938,01-09-2014,dessert,
4984,14-06-2014,soups,supe
4589,09-11-2014,whole milk,lapte integral
4932,21-03-2014,root vegetables,legume rădăcinoase
2751,11-03-2014,female sanitary products,
4663,13-03-2014,domestic eggs,ouă
1460,07-05-2014,yogurt,iaurt
4986,06-10-2014,dessert,
1310,22-11-2014,salty snack,gustare sărată
2161,04-05-2014,shopping bags,pungi de cumpărături
1526,18-02-2014,other vegetables,alte legume
1026,18-06-2014,long life bakery product,produs de patiserie cu termen lung
1041,07-07-2014,dessert,
3065,23-02-2014,yogurt,iaurt
3846,11-07-2014,whole milk,lapte integral
3672,30-09-2014,root vegetables,legume rădăcinoase
3971,11-11-2014,whole milk,lapte integral
1733,02-07-2014,butter,unt
4289,05-09-2014,onions,ceapă
3200,07-09-2014,berries,fructe de pădure
1109,19-06-2014,whole milk,lapte integral
3224,10-06-2014,soda,suc carbogazos
2851,14-11-2014,onions,ceapă
4085,30-07-2014,sliced cheese,brânză feliată
1654,06-04-2014,frozen dessert,desert congelat
3907,09-05-2014,other vegetables,alte legume
4338,21-04-2014,rice,orez
4670,28-01-2014,whole milk,lapte integral
3905,09-06-2014,bottled beer,bere la sticlă
4443,31-01-2014,whole milk,lapte integral
4667,04-09-2014,fruit/vegetable juice,suc de fructe/legume
4504,08-03-2014,soda,suc carbogazos
1328,06-06-2014,bottled beer,bere la sticlă
1442,28-02-2014,margarine,margarină
4269,29-06-2014,whipped/sour cream,frișcă/smântână
4722,12-02-2014,yogurt,iaurt
3151,13-10-2014,domestic eggs,ouă
4371,02-06-2014,domestic eggs,ouă
2068,22-08-2014,rolls/buns,chifle
4353,02-09-2014,root vegetables,legume rădăcinoase
3851,03-08-2014,other vegetables,alte legume
4743,15-05-2014,other vegetables,alte legume
4083,15-08-2014,chocolate,ciocolată
1125,09-12-2014,margarine,margarină
2293,31-05-2014,shopping bags,pungi de cumpărături
3365,17-10-2014,butter milk,
2341,12-09-2014,soda,suc carbogazos
3115,26-05-2014,sugar,zahăr
4044,30-06-2014,other vegetables,alte legume
1609,07-07-2014,butter,unt
1413,14-07-2014,canned beer,bere la cutie
1469,28-08-2014,salty snack,gustare sărată
3546,09-09-2014,bottled beer,bere la sticlă
1752,13-04-2014,butter,unt
2836,20-10-2014,butter,unt
1244,07-09-2014,soft cheese,brânză moale
4183,20-11-2014,salty snack,gustare sărată
1492,05-11-2014,whipped/sour cream,frișcă/smântână
2255,17-07-2014,pastry,patiserie
4525,13-11-2014,bottled beer,bere la sticlă
2726,17-09-2014,butter milk,
1686,15-05-2014,canned beer,bere la cutie
3808,05-03-2014,other vegetables,alte legume
3905,06-10-2014,root vegetables,legume rădăcinoase
4523,01-09-2014,domestic eggs,ouă
1770,14-09-2014,waffles,vafe
1609,05-03-2014,fruit/vegetable juice,suc de fructe/legume
3678,21-06-2014,newspapers,ziare
4341,29-03-2014,other vegetables,alte legume
2758,18-05-2014,soda,suc carbogazos
2867,09-05-2014,salty snack,gustare sărată
3329,28-08-2014,yogurt,iaurt
2966,26-11-2014,long life bakery product,produs de patiserie cu termen lung
4345,16-07-2014,shopping bags,pungi de cumpărături
2960,27-10-2014,fruit/vegetable juice,suc de fructe/legume
1247,08-06-2014,candy,bomboane
2770,29-08-2014,pip fruit,fruct cu sâmburi
2914,09-10-2014,long life bakery product,produs de patiserie cu termen lung
3802,08-06-2014,chewing gum,gumă de mestecat
2519,15-04-2014,domestic eggs,ouă
3933,12-07-2014,shopping bags,pungi de cumpărături
4291,18-05-2014,bottled water,apă îmbuteliată
3998,11-08-2014,frozen vegetables,legume congelate
2395,04-06-2014,margarine,margarină
1602,17-12-2014,whipped/sour cream,frișcă/smântână
1659,01-01-2014,frozen vegetables,legume congelate
3904,24-09-2014,newspapers,ziare
1493,22-10-2014,UHT-milk,
1840,07-10-2014,brown bread,pâine integrală
4178,05-10-2014,domestic eggs,ouă
2165,27-10-2014,oil,ulei
4618,11-01-2014,other vegetables,alte legume
2093,16-02-2014,waffles,vafe
2215,21-03-2014,whole milk,lapte integral
4779,29-01-2014,pip fruit,fruct cu sâmburi
1939,02-02-2014,whipped/sour cream,frișcă/smântână
4852,11-02-2014,citrus fruit,fructe citrice
1173,18-04-2014,margarine,margarină
4232,10-06-2014,processed cheese,brânză topită
1870,15-07-2014,baking powder,
2683,04-04-2014,candles,lumânări
2837,26-06-2014,bottled water,apă îmbuteliată
4364,24-09-2014,baking powder,
1842,03-11-2014,butter milk,
2036,27-08-2014,onions,ceapă
1235,14-06-2014,bottled beer,bere la sticlă
1935,17-07-2014,margarine,margarină
3480,18-04-2014,bottled water,apă îmbuteliată
2881,06-03-2014,margarine,margarină
1237,16-10-2014,sugar,zahăr
1755,19-01-2014,soda,suc carbogazos
4830,23-12-2014,dish cleaner,detergent pentru vase
2162,25-05-2014,dog food,
1453,21-11-2014,margarine,margarină
2139,13-04-2014,soda,suc carbogazos
3987,31-08-2014,yogurt,iaurt
3027,14-10-2014,berries,fructe de pădure
1241,11-01-2014,specialty cheese,brânză specială
1018,15-04-2014,domestic eggs,ouă
1390,04-09-2014,frozen meals,
1646,15-11-2014,sparkling wine,
1053,10-12-2014,whole milk,lapte integral
1566,28-06-2014,curd,brânză de vaci
4390,15-11-2014,beverages,băuturi
4779,24-06-2014,sauces,sosuri
4294,22-07-2014,ice cream,înghețată
2939,02-11-2014,grapes,struguri
1465,26-09-2014,yogurt,iaurt
1934,14-06-2014,root vegetables,legume rădăcinoase
2946,14-09-2014,whipped/sour cream,frișcă/smântână
3643,26-09-2014,pastry,patiserie
3722,01-08-2014,whole milk,lapte integral
4515,16-04-2014,tropical fruit,fruct tropical
4572,27-06-2014,roll products ,
4398,17-08-2014,salty snack,gustare sărată
3369,24-01-2014,rolls/buns,chifle
1738,01-10-2014,rolls/buns,chifle
1283,22-05-2014,bottled water,apă îmbuteliată
1116,27-09-2014,soda,suc carbogazos
4136,16-03-2014,frozen dessert,desert congelat
1066,15-05-2014,other vegetables,alte legume
